City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,64.99,92,94,3.0,ZA,1587748148
Kavieng,-2.5744,150.7967,83.77,73,66,5.79,PG,1587748260
Ribeira Grande,38.5167,-28.7,66.2,77,40,13.87,PT,1587748473
Hami,42.8,93.45,61.16,14,0,5.21,CN,1587748148
Namibe,-15.1961,12.1522,78.8,74,0,23.04,AO,1587748473
Sabhā,27.0377,14.4283,79.74,21,26,8.46,LY,1587748159
Santa Rosa,14.3122,121.1114,84.2,70,20,5.82,PH,1587748155
Bershet’,57.7309,56.3783,28.4,79,40,11.18,RU,1587747915
Erdenet,49.0333,104.0833,46.62,31,63,1.61,MN,1587748158
George Town,5.4112,100.3354,82.4,88,20,1.12,MY,1587748156
San Juan,-31.5375,-68.5364,77.9,26,0,17.09,AR,1587748504
Williams Lake,52.1415,-122.1445,44.6,52,75,2.24,CA,1587748597
Puerto Ayora,-0.7393,-90.3518,86.0,62,20,16.11,EC,1587748497
Nālūt,30.3333,10.85,77.22,15,0,7.76,LY,1587748273
Pitimbu,-7.4706,-34.8086,87.8,62,40,10.29,BR,1587748474
Nokia,61.4667,23.5,45.0,33,60,12.75,FI,1587748146
Ṭikāpur,28.5,81.1333,73.99,85,6,5.01,NP,1587748153
San Cristobal,7.7669,-72.225,87.8,58,40,10.29,VE,1587748497
Faya,18.3851,42.4509,71.6,60,40,11.41,SA,1587748142
Coquimbo,-29.9533,-71.3436,65.46,66,100,7.2,CL,1587748514
Staryye Ozinki,51.1786,49.6769,45.61,81,97,8.93,RU,1587747913
Oltu,40.5498,42.0013,44.64,39,76,2.59,TR,1587748147
Klamath Falls,42.2249,-121.7817,55.99,47,75,6.93,US,1587748584
Agirish,61.9247,63.0231,26.31,89,55,5.77,RU,1587747934
Izazi,-7.2,35.7333,69.8,83,40,3.96,TZ,1587748143
Saldanha,-33.0117,17.9442,68.0,64,88,10.29,ZA,1587748473
Inverness,57.4791,-4.224,52.0,76,2,16.11,GB,1587748159
Tigzirt,36.8886,4.1198,62.74,80,1,16.22,DZ,1587748279
The Valley,18.217,-63.0578,87.8,55,40,16.11,AI,1587748491
Kaitangata,-46.2817,169.8464,48.99,75,91,4.0,NZ,1587748273
Hithadhoo,-0.6,73.0833,83.82,71,100,10.33,MV,1587747933
Kruisfontein,-34.0033,24.7314,57.96,85,91,5.17,ZA,1587748148
Yokadouma,3.5167,15.05,80.22,54,60,0.76,CM,1587748273
Torbay,47.6666,-52.7314,45.0,42,75,28.86,CA,1587748597
Paciran,-6.8767,112.3761,78.71,82,100,4.29,ID,1587748155
Salinópolis,-0.6136,-47.3561,83.86,71,56,6.51,BR,1587748474
At-Bashi,41.1702,75.8106,44.01,96,61,4.0,KG,1587748154
Severo-Kuril’sk,50.6789,156.125,32.02,95,98,16.87,RU,1587748260
Touros,-5.1989,-35.4608,86.0,74,40,9.17,BR,1587748474
Boyabat,41.4689,34.7667,45.79,64,16,3.67,TR,1587748147
Ostrovnoy,68.0531,39.5131,27.82,97,100,20.58,RU,1587747914
Erzin,36.9559,36.2,57.0,81,100,4.97,TR,1587748143
Tarakan,3.3,117.6333,80.98,79,64,5.95,ID,1587748155
Fortuna,40.5982,-124.1573,60.01,87,20,3.36,US,1587748584
Santa Cruz de la Sierra,-17.8,-63.1667,84.2,70,75,14.99,BO,1587748514
Kenai,60.5544,-151.2583,39.0,93,40,6.93,US,1587748591
San Carlos de Bariloche,-41.1456,-71.3082,53.6,62,75,12.75,AR,1587748697
Qaanaaq,77.484,-69.3632,21.0,91,100,3.85,GL,1587748504
Lompoc,34.6391,-120.4579,78.8,34,1,9.17,US,1587748578
El Cobre,20.0489,-75.9469,86.0,66,20,10.29,CU,1587748491
Muyezerskiy,63.9333,31.65,26.62,94,95,6.29,RU,1587747910
San Ignacio Río Muerto,27.4167,-110.2333,84.2,23,5,9.17,MX,1587748514
Khatanga,71.9667,102.5,33.89,97,100,5.91,RU,1587748254
Arrondissement de Saint-Denis,48.9167,2.3333,73.99,37,47,10.29,FR,1587748395
Shubarshi,48.5872,57.1869,44.89,51,0,13.11,KZ,1587747916
Carnarvon,-24.8667,113.6333,74.52,69,91,25.99,AU,1587748260
Baculin,7.4525,126.5842,78.17,83,99,5.79,PH,1587747941
Butaritari,3.0707,172.7902,83.05,79,100,19.75,KI,1587748260
Nanning,22.8167,108.3167,60.8,87,100,4.47,CN,1587748149
Poum,-20.2333,164.0167,77.49,78,100,15.93,NC,1587748260
Philadelphia,39.9523,-75.1638,50.0,87,90,11.41,US,1587748539
Cumaral,4.2708,-73.4867,84.2,70,75,4.7,CO,1587748503
Vila,42.0304,-8.1588,61.0,79,99,1.01,PT,1587748677
Stromness,58.965,-3.296,48.2,76,88,6.93,GB,1587748297
Yulara,-25.2406,130.9889,78.8,29,1,5.82,AU,1587748601
Cherskiy,68.75,161.3,23.86,98,97,2.24,RU,1587748260
Uthal,25.8072,66.6219,80.85,62,1,3.27,PK,1587748149
Marzuq,14.4,46.4667,79.57,35,40,10.25,YE,1587747904
Klaksvík,62.2266,-6.589,44.6,81,78,10.29,FO,1587748292
Arraial do Cabo,-22.9661,-42.0278,82.4,51,20,6.93,BR,1587748486
Vostok,46.4856,135.8833,26.53,87,98,1.79,RU,1587748254
Bull Savanna,17.8868,-77.5902,85.44,55,12,17.94,JM,1587748486
Padang,-0.9492,100.3543,79.16,79,100,1.81,ID,1587748098
Mackay,-21.15,149.2,68.0,82,75,4.7,AU,1587748143
Xaçmaz,41.4635,48.806,46.62,71,21,6.67,AZ,1587748143
Mayumba,-3.432,10.6554,81.79,87,62,7.23,GA,1587748279
Lewiston,44.1003,-70.2148,55.0,21,1,11.41,US,1587748561
Paraná,-31.732,-60.5238,93.0,33,74,8.01,AR,1587748504
Barcelos,41.5388,-8.6151,63.0,82,100,8.05,PT,1587748162
Esperance,-33.8667,121.9,55.4,100,94,6.93,AU,1587748260
Vao,-22.6667,167.4833,74.12,61,98,11.77,NC,1587748260
Våler,60.6785,11.8331,51.01,10,70,3.0,NO,1587748449
Telêmaco Borba,-24.3239,-50.6156,78.62,39,0,5.26,BR,1587748480
Progreso,21.2833,-89.6667,99.0,52,5,11.41,MX,1587748490
Nome,64.5011,-165.4064,28.4,63,1,11.41,US,1587748591
Churapcha,62.0025,132.4325,28.06,95,90,1.32,RU,1587748254
Rawson,-43.3002,-65.1023,68.0,36,72,8.21,AR,1587748504
São José da Coroa Grande,-8.8978,-35.1478,82.89,72,18,11.83,BR,1587748474
Smidovich,48.6,133.8167,35.51,82,99,12.97,RU,1587748254
Itabira,-19.6192,-43.2269,75.2,57,40,9.17,BR,1587748485
Korla,41.7597,86.1469,64.85,19,3,2.1,CN,1587748148
Esil,51.9556,66.4042,42.06,56,36,9.66,KZ,1587747935
Bontang,0.1333,117.5,79.68,85,99,6.8,ID,1587748155
Shirvan,39.9509,48.8994,51.44,64,95,1.43,AZ,1587747909
Kamenka,51.3223,42.7678,54.0,52,100,4.0,RU,1587747914
Morehead,37.2711,-87.1764,66.99,63,40,4.7,US,1587748531
Sinazongwe,-17.2614,27.4618,73.31,50,1,3.11,ZM,1587747928
Healdsburg,38.6105,-122.8692,78.01,33,20,11.41,US,1587748578
Knysna,-34.0363,23.0471,64.4,82,40,3.36,ZA,1587748148
Beloha,-25.1667,45.05,71.55,81,6,14.54,MG,1587748148
Shalya,57.2471,58.7298,26.15,90,78,5.66,RU,1587747911
São Miguel do Araguaia,-13.275,-50.1628,81.5,73,77,4.0,BR,1587748480
Znamenskoye,57.1281,73.8282,41.47,78,100,4.94,RU,1587747933
Arlit,18.7369,7.3853,95.95,8,2,3.58,NE,1587748279
Östersund,63.1792,14.6357,39.2,69,89,14.99,SE,1587748162
Mangan,27.5167,88.5333,61.47,33,46,4.59,IN,1587747931
Bubaque,11.2833,-15.8333,78.28,68,98,11.77,GW,1587748279
Albanel,48.8832,-72.4487,28.4,54,5,5.82,CA,1587748591
Ginda,30.6945,78.4932,60.96,29,62,7.27,IN,1587748150
Mataró,41.5421,2.4445,70.0,40,4,10.29,ES,1587748156
Tocopilla,-22.092,-70.1979,82.96,25,30,10.09,CL,1587748513
Fuerte Olimpo,-21.0415,-57.8738,93.92,32,0,9.46,PY,1587748480
Gamba,-2.65,10.0,81.21,86,50,7.0,GA,1587748279
Pangai,-19.8,-174.35,79.11,76,30,1.41,TO,1587748521
Whitianga,-36.8333,175.7,51.01,95,98,8.99,NZ,1587748273
Mount Gambier,-37.8333,140.7667,51.8,93,75,9.17,AU,1587748143
Asău,46.4333,26.4,60.01,29,74,4.36,RO,1587747921
Terrace Bay,48.7834,-87.1,39.2,51,90,3.36,CA,1587748597
Cabo San Lucas,22.8909,-109.9124,86.0,25,5,8.05,MX,1587748514
Maceió,-9.6658,-35.7353,78.8,88,75,2.24,BR,1587748474
Marsh Harbour,26.5412,-77.0636,81.14,77,97,20.29,BS,1587748491
Bredasdorp,-34.5322,20.0403,66.2,72,82,6.93,ZA,1587747929
Lagoa,39.05,-27.9833,61.36,83,99,14.56,PT,1587748473
San Patricio,19.2167,-104.7,75.2,88,40,5.82,MX,1587748514
Turrialba,9.9047,-83.6835,80.6,54,40,6.93,CR,1587748497
Alta Floresta,-9.8756,-56.0861,87.8,66,75,3.36,BR,1587748601
Forsytheganj,52.6333,29.7333,50.41,64,100,5.55,BY,1587748720
Srednekolymsk,67.45,153.6833,20.8,98,100,1.83,RU,1587748260
Weligama,5.9667,80.4167,79.45,87,99,7.67,LK,1587748149
Opuwo,-18.0607,13.84,71.29,25,0,1.45,NA,1587748473
Saint George,37.1041,-113.5841,71.01,29,1,8.05,US,1587748583
Lorengau,-2.0226,147.2712,82.09,74,9,2.95,PG,1587748260
Pereira Barreto,-20.6383,-51.1092,82.69,58,37,7.2,BR,1587748480
Ilulissat,69.2167,-51.1,41.0,60,20,4.7,GL,1587748479
Balabac,7.9868,117.0645,83.43,77,19,8.99,PH,1587747940
Praia,14.9215,-23.5087,80.6,42,40,19.46,CV,1587748473
Álamos,27.0167,-108.9333,89.01,33,42,3.0,MX,1587748521
Omboué,-1.5746,9.2618,80.82,88,91,7.47,GA,1587748279
Negombo,7.2083,79.8358,79.93,87,72,5.66,LK,1587748149
Lavrentiya,65.5833,-171.0,20.64,94,15,7.27,RU,1587748521
Galesong,-5.3166,119.3661,77.0,100,20,2.24,ID,1587748155
Tranby,59.8167,10.25,54.0,46,75,7.0,NO,1587748449
Sanctorum,19.1,-98.25,71.6,49,75,3.36,MX,1587748490
Talnakh,69.4865,88.3972,30.2,100,75,13.42,RU,1587748154
Rognan,67.0953,15.3878,41.0,65,40,11.41,NO,1587748449
Bethel,41.3712,-73.414,46.0,93,90,5.82,US,1587748577
Longyearbyen,78.2186,15.6401,28.4,39,0,12.75,SJ,1587748162
Arica,-18.475,-70.3042,69.8,64,0,12.75,CL,1587748514
Coyhaique,-45.5752,-72.0662,53.6,76,75,5.82,CL,1587748514
Kapit,2.0167,112.9333,73.49,94,67,1.57,MY,1587748156
Kemijärvi,66.7131,27.4306,28.53,92,100,11.25,FI,1587747918
Mabaruma,8.2,-59.7833,82.6,72,54,9.26,GY,1587748473
Grand-Santi,4.25,-54.3833,87.19,57,87,4.47,GF,1587748473
Huarmey,-10.0681,-78.1522,78.44,55,53,9.98,PE,1587748514
Dwārka,22.2394,68.9678,81.73,82,0,13.65,IN,1587748152
Dauphin,51.1494,-100.0502,48.69,62,83,8.21,CA,1587748591
Deputatsky,69.3,139.9,9.3,90,21,1.9,RU,1587748254
Húsavík,66.0449,-17.3389,46.4,65,40,8.05,IS,1587748296
Nānākuli,21.3906,-158.1547,73.4,83,1,4.7,US,1587748590
Geraldton,-28.7667,114.6,68.0,77,40,5.82,AU,1587748143
Tasiilaq,65.6145,-37.6368,39.2,80,75,2.24,GL,1587748479
Sambava,-14.2667,50.1667,76.78,87,60,9.8,MG,1587748148
Sobolevo,54.4299,31.8996,45.52,66,76,6.91,RU,1587747910
Shitanjing,39.2342,106.3439,52.0,1,0,4.0,CN,1587748149
Carayaó,-25.1833,-56.4,88.99,23,0,7.52,PY,1587748480
Kuloy,61.0305,42.4925,28.22,92,100,5.61,RU,1587747910
Turukhansk,65.8167,87.9833,34.16,96,100,3.8,RU,1587747934
Hualmay,-11.0964,-77.6139,75.36,60,2,9.24,PE,1587748514
Mashhad,36.297,59.6062,57.2,87,75,11.41,IR,1587748142
Grenville,12.1167,-61.6167,84.2,74,75,19.46,GD,1587748491
Baruun-Urt,46.6806,113.2792,34.52,48,0,6.31,MN,1587748158
Sangar,63.9242,127.4739,24.28,97,30,3.2,RU,1587748254
Ust’-Karsk,52.7011,118.8077,34.12,74,67,3.65,RU,1587748254
Abu Kamal,34.4506,40.9171,76.77,30,99,11.48,SY,1587748143
Juneau,58.3019,-134.4197,43.0,87,90,9.17,US,1587748584
Dolores,-36.3132,-57.6792,68.25,81,100,9.26,AR,1587748479
Ponta do Sol,32.6667,-17.1,64.4,63,40,17.22,PT,1587748274
Alofi,-19.0595,-169.9187,71.6,100,90,2.24,NU,1587748521
Kristiansund,63.1115,7.732,44.6,70,75,9.17,NO,1587748449
Ancud,-41.8697,-73.8203,57.0,100,90,5.82,CL,1587748514
Tagusao,9.1924,117.8141,81.79,75,42,1.81,PH,1587747937
Sale,34.0389,-6.8166,66.99,82,75,8.05,MA,1587748161
Sola,-13.8833,167.55,81.25,79,100,16.42,VU,1587748260
Vraca,43.8422,18.3955,50.16,52,0,0.58,BA,1587748473
La Palma,33.8464,-118.0467,84.99,42,1,4.7,US,1587748578
Sumkino,58.1108,68.3244,33.66,86,58,3.22,RU,1587747934
Narsaq,60.9167,-46.05,53.6,23,75,11.41,GL,1587748479
Killybegs,54.6333,-8.45,60.8,87,97,6.93,IE,1587748383
Yuancheng,36.652,107.7896,48.06,19,0,7.23,CN,1587747942
Tchibanga,-2.85,11.0333,77.56,87,57,4.54,GA,1587748158
Syumsi,57.1111,51.6149,28.9,90,96,5.28,RU,1587747912
Sitka,57.0531,-135.33,42.8,87,90,3.36,US,1587748584
São Gabriel da Cachoeira,-0.1303,-67.0892,84.2,74,20,3.36,BR,1587748498
Airai,-8.9266,125.4092,67.15,72,100,4.18,TL,1587747936
Łęczna,51.3012,22.8814,62.6,39,92,5.82,PL,1587748148
Constitución,-35.3333,-72.4167,60.26,83,96,15.01,CL,1587748514
Maragogi,-9.0122,-35.2225,82.76,72,24,11.43,BR,1587748474
San Quintín,30.4833,-115.95,73.83,45,0,5.99,MX,1587748514
Seven Pagodas,12.6264,80.1722,87.8,70,20,9.17,IN,1587747931
Sosnovo-Ozerskoye,52.5249,111.5418,32.43,51,38,2.1,RU,1587748254
Kaeo,-35.1,173.7833,54.0,92,100,4.97,NZ,1587748273
Kokopo,-4.352,152.2633,79.03,77,64,3.53,PG,1587748158
Cayenne,4.9333,-52.3333,87.8,55,40,10.29,GF,1587748473
Rocha,-34.4833,-54.3333,77.83,56,99,10.09,UY,1587748480
Ken Caryl,39.5773,-105.1169,55.0,53,75,12.75,US,1587748583
Rochegda,62.8,43.25,26.91,95,100,4.12,RU,1587747913
San Policarpo,12.1791,125.5072,82.0,83,30,14.34,PH,1587747938
Karratha,-20.7377,116.8463,82.71,69,0,5.86,AU,1587748671
Guarapari,-20.6667,-40.4975,78.01,66,4,8.14,BR,1587748481
Barguzin,53.6167,109.6167,33.87,61,5,1.63,RU,1587748254
Bowen,-20.0167,148.2333,69.01,88,1,6.93,AU,1587748273
Puerto Escondido,15.85,-97.0667,84.2,89,20,6.93,MX,1587748490
Ciudad Lázaro Cárdenas,17.9583,-102.2,83.52,53,33,9.08,MX,1587748521
Pangnirtung,66.1451,-65.7125,37.4,59,90,17.22,CA,1587748596
Pompéia,-22.1086,-50.1717,78.96,58,11,7.72,BR,1587748480
Vardø,70.3705,31.1107,30.2,92,90,28.86,NO,1587747926
Kahului,20.8947,-156.47,71.6,83,40,10.29,US,1587748590
Luanda,-8.8368,13.2343,87.8,66,75,5.82,AO,1587748142
Da Lat,11.9465,108.4419,58.1,65,99,3.2,VN,1587748154
Bīrjand,32.8663,59.2211,69.8,35,20,1.19,IR,1587748143
Samarai,-10.6167,150.6667,78.62,85,57,5.86,PG,1587748260
Haines Junction,60.7522,-137.5108,34.84,66,100,6.33,CA,1587748591
Adrar,20.5022,-10.0711,92.01,13,52,12.06,MR,1587748279
Grand Gaube,-20.0064,57.6608,78.01,89,99,3.0,MU,1587747928
Batatais,-20.8911,-47.585,86.0,48,40,5.82,BR,1587748486
Ólafsvík,64.8945,-23.7142,43.52,79,90,12.95,IS,1587748479
Aneby,57.839,14.8102,48.2,51,45,12.75,SE,1587748314
Westport,41.1415,-73.3579,46.99,87,90,14.99,US,1587748553
Banda Aceh,5.5577,95.3222,80.74,78,61,5.91,ID,1587748149
Beringovskiy,63.05,179.3167,18.77,96,99,9.31,RU,1587748260
Cabedelo,-6.9811,-34.8339,87.8,62,40,10.29,BR,1587748474
Peniche,39.3558,-9.3811,62.01,77,75,8.01,PT,1587748159
Batagay,67.6333,134.6333,21.04,94,88,1.32,RU,1587748254
Flin Flon,54.7682,-101.865,39.2,60,75,8.05,CA,1587748591
Storm Lake,42.6411,-95.2097,62.6,51,1,16.11,US,1587748554
Skellefteå,64.7507,20.9528,42.8,60,64,2.24,SE,1587748146
Taoudenni,22.6783,-3.9836,103.39,8,17,16.64,ML,1587748279
Saint-Augustin,51.226,-58.6502,34.84,84,84,23.22,CA,1587748596
Sokur,55.2093,83.319,50.0,61,96,4.47,RU,1587747934
Ruidoso,33.3317,-105.673,64.99,21,1,19.46,US,1587748583
Tyukhtet,56.5389,89.3011,60.55,52,92,7.76,RU,1587747934
Ahipara,-35.1667,173.1667,60.21,80,100,8.43,NZ,1587748273
Acapulco de Juárez,16.8634,-99.8901,84.2,54,5,4.7,MX,1587748491
Acajutla,13.5928,-89.8275,87.8,45,20,4.7,SV,1587748491
La Ronge,55.1001,-105.2842,39.2,64,90,9.17,CA,1587748592
Santa Cruz del Norte,23.1539,-81.9236,91.4,49,40,14.99,CU,1587748491
Dingle,10.9995,122.6711,80.28,84,13,10.96,PH,1587747938
Shenjiamen,29.9576,122.298,59.0,71,45,15.77,CN,1587748149
Komsomolskiy,40.4272,71.7189,75.2,33,99,6.93,UZ,1587747934
Trairi,-3.2778,-39.2689,83.17,76,75,8.05,BR,1587748474
Palmerston,-12.486,130.9833,80.6,83,54,4.7,AU,1587748601
Shunyi,40.125,116.6453,68.0,16,5,15.66,CN,1587748149
Bulgan,48.8125,103.5347,49.71,28,69,1.7,MN,1587748158
Ntoum,0.3833,9.7833,86.0,74,40,6.93,GA,1587748279
Shache,38.4167,77.2406,66.72,22,42,3.51,CN,1587748149
Kulhudhuffushi,6.6221,73.07,84.24,77,100,11.99,MV,1587747933
Karymskoye,51.6167,114.35,34.88,58,8,1.28,RU,1587748254
Nabire,-3.3667,135.4833,76.77,85,49,2.66,ID,1587748155
Popondetta,-8.7537,148.2534,75.42,82,81,3.06,PG,1587748158
Thomaston,32.8882,-84.3266,72.0,60,90,12.75,US,1587748523
Koindu,8.4386,-10.3253,80.6,65,76,1.1,GN,1587748279
Santarém,-2.4431,-54.7083,84.2,74,40,5.82,BR,1587748474
Laguna,38.421,-121.4238,75.2,31,1,12.75,US,1587748578
Imbituba,-28.24,-48.6703,78.8,54,20,11.41,BR,1587748485
Saskylakh,71.9167,114.0833,26.55,96,41,14.05,RU,1587748254
Monchegorsk,67.9397,32.8739,26.8,95,99,17.6,RU,1587748145
Şile,41.1754,29.6133,54.0,55,0,4.0,TR,1587747925
Camocim,-2.9022,-40.8411,83.97,77,98,1.83,BR,1587748474
Nanortalik,60.1432,-45.2371,41.25,68,100,22.21,GL,1587748479
Departamento de Maldonado,-34.6667,-54.9167,78.01,61,96,10.29,UY,1587748480
Kasongo-Lunda,-6.4667,16.8167,74.62,76,81,1.36,CD,1587748147
Artigas,-30.4,-56.4667,86.27,30,36,16.31,UY,1587748480
Half Moon Bay,37.4636,-122.4286,73.99,52,5,12.39,US,1587748578
Rio Grande,-32.035,-52.0986,87.8,43,61,8.05,BR,1587748480
